LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	ANI_CI95	COVERED_SIG_LEN	BEST_SIG_COV	DEPTH	REL_ABUNDANCE	PARENT_NAME	PARENT_TAXID	TOTAL_READ_LEN	READ_IDT	TOTAL_BP_MISMATCH	TOTAL_BP_INDEL	ANI_NAIVE	ANI_CI95_LH	SIG_COV	MAPPED_SIG_LEN	TOTAL_SIG_LEN	COVERED_SIG_DEPTH	COVERED_MAPPED_SIG_COV	ZSCORE	GENOMIC_CONTENT_EST	ABUNDANCE	REL_ABUNDANCE_DEPTH	REL_ABUNDANCE_GC	SIG_LEVEL	GENOME_COUNT	GENOME_SIZE	NOTE
superkingdom	Bacteria	2	1260518	140707184	0.997430	37530859	0.997717	109.612742	0.789402	root	1	189077700	0.740077	775082	13033	0.997420	[0.997298-0.997562]	0.015735	59069431	2385129192	3.749106	0.635369	0.047831	0.000000	109.612742	0.789402		species	2329	0	
superkingdom	Archaea	2157	300039	32937596	0.997295	8908297	0.984516	20.309147	0.146261	root	1	45005850	0.728731	140416	3289	0.997285	[0.99716-0.99743]	0.248837	9968558	35799700	3.697407	0.893639	0.125409	0.000000	20.309147	0.146261		species	20	0	
superkingdom	Viruses	10239	829	90266	0.997288	60671	0.775294	8.933454	0.064336	root	1	124350	0.723168	340	2	0.997579	[0.996042-0.998534]	0.068717	134424	882912	1.487795	0.451341	0.538361	0.000000	8.933454	0.064336		species	35	0	
phylum	Pseudomonadota	1224	370070	35491457	0.997430	13024862	0.972762	57.786835	0.416166	Bacteria	2	55510500	0.634166	288593	6071	0.997420	[0.997298-0.997562]	0.008759	21518946	1487029378	2.724901	0.605274	0.167333	0.000000	57.786835	0.416166		species	1561	0	
phylum	Bacteroidota	976	625493	78676110	0.997290	12333315	0.997717	26.021715	0.187402	Bacteria	2	93823950	0.835635	273531	1795	0.997280	[0.997161-0.99742]	0.088405	18154231	139509524	6.379154	0.679363	0.047831	0.000000	26.021715	0.187402		species	58	0	
phylum	Euryarchaeota	28890	219064	24435821	0.996917	6453513	0.984516	14.748377	0.106214	Archaea	2157	32859600	0.740102	116380	3198	0.996902	[0.996849-0.996984]	0.280985	7380807	22967493	3.786437	0.874364	0.125409	0.000000	14.748377	0.106214		species	12	0	
phylum	Bacillota	1239	27543	2724459	0.997114	1478223	0.394416	8.828140	0.063578	Bacteria	2	4131450	0.652254	29704	1276	0.997142	[0.996623-0.997605]	0.007059	3039851	209416669	1.843064	0.486281	1.239111	0.000000	8.828140	0.063578		species	367	0	
phylum	Actinomycetota	201174	71675	6181050	0.997404	3534811	0.503650	7.297877	0.052557	Bacteria	2	10751250	0.571050	41551	1639	0.997395	[0.99726-0.997549]	0.011810	4983463	299294187	1.748622	0.709308	0.992727	0.000000	7.297877	0.052557		species	238	0	
phylum	Nitrososphaerota	651137	80975	8501775	0.997295	2454784	0.946038	5.560769	0.040047	Archaea	2157	12146250	0.697972	24036	91	0.997285	[0.99716-0.99743]	0.191299	2587751	12832207	3.463350	0.948617	0.238830	0.000000	5.560769	0.040047		species	8	0	
phylum	Campylobacterota	29547	55062	4898380	0.997285	1529361	0.609343	5.044841	0.036332	Bacteria	2	8259300	0.587361	47188	698	0.997277	[0.997117-0.997453]	0.086336	1862549	17713963	3.202893	0.821112	0.800694	0.000000	5.044841	0.036332		species	21	0	
phylum	Uroviricota	2731618	399	36711	0.997288	20742	0.775294	3.867070	0.027850	Viruses	10239	59850	0.611362	121	0	0.997579	[0.996042-0.998534]	0.086686	26851	239277	1.769887	0.772485	0.538361	0.000000	3.867070	0.027850		species	7	0	
phylum	Thermodesulfobacteriota	200940	85368	9983402	0.996930	5337026	0.461888	3.434131	0.024732	Bacteria	2	12805200	0.775055	58666	918	0.996937	[0.996566-0.997295]	0.077909	9019475	68503194	1.870593	0.591722	1.079365	0.000000	3.434131	0.024732		species	22	0	
phylum	Pisuviricota	2732408	176	22958	0.995605	19373	0.331990	2.048692	0.014754	Viruses	10239	26400	0.865417	111	2	0.997914	[0.991728-0.999482]	0.114720	63269	168872	1.185051	0.306201	1.418498	0.000000	2.048692	0.014754		species	13	0	
phylum	Kitrinoviricota	2732406	70	9287	0.996223	4758	0.734760	1.563496	0.011260	Viruses	10239	10500	0.881524	31	0	0.996806	[0.994178-0.998268]	0.370503	8187	12842	1.951871	0.581165	0.600824	0.000000	1.563496	0.011260		species	2	0	
phylum	Nitrospirota	40117	22946	2569353	0.995188	151493	0.027827	0.649346	0.004676	Bacteria	2	3441900	0.736799	33364	586	0.995778	[0.992839-0.997538]	0.008253	249738	18355738	16.960209	0.606608	5.910654	0.000000	0.649346	0.004676		species	5	0	
phylum	Cossaviricota	2732415	22	2587	0.988154	2399	0.236403	0.558776	0.004024	Viruses	10239	3300	0.780303	12	0	0.996139	[0.976937-0.99937]	0.121733	4907	19707	1.078366	0.488893	1.797240	0.000000	0.558776	0.004024		species	4	0	
phylum	Spirochaetota	203691	2063	170700	0.996616	139955	0.108533	0.545225	0.003927	Bacteria	2	309450	0.544818	2106	32	0.997642	[0.994176-0.999056]	0.015485	228868	9038097	1.219678	0.611510	2.865978	0.000000	0.545225	0.003927		species	21	0	
phylum	Preplasmiviricota	2732008	116	14400	0.996519	10424	0.358966	0.495885	0.003571	Viruses	10239	17400	0.825115	43	0	0.997014	[0.994703-0.998335]	0.358966	18176	29039	1.381427	0.573504	1.336332	0.000000	0.495885	0.003571		species	1	0	
phylum	Negarnaviricota	2497569	26	3298	0.976559	2476	0.083030	0.334483	0.002409	Viruses	10239	3900	0.843077	10	0	0.997112	[0.953287-0.999831]	0.057384	12418	43148	1.331987	0.199388	3.323228	0.000000	0.334483	0.002409		species	4	0	
phylum	Nucleocytoviricota	2732007	6	308	0.803030	276	0.031604	0.053300	0.000384	Viruses	10239	900	0.342222	0	0	1.000000	[0.60606-1.0]	0.024251	291	11381	1.115942	0.948454	5.535496	0.000000	0.053300	0.000384		species	2	0	
phylum	Duplornaviricota	2732405	2	177	0.659539	177	0.010170	0.010170	0.000073	Viruses	10239	300	0.590000	0	0	1.000000	[0.319079-1.0]	0.010170	264	17404	1.000000	0.670455	9.865479	0.000000	0.010170	0.000073		species	1	0	
phylum	Acanthamoeba castellanii medusavirus - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	Acanthamoeba castellanii medusavirus - no_g_rank - no_f_rank - no_o_rank - no_c_rank - no_p_rank	12	540	0.500770	46	0.000135	0.001582	0.000011	Viruses	10239	1800	0.293333	12	0	0.977778	[0.001541-0.999999]	0.000135	61	341242	11.739130	0.754098	86.123773	0.000000	0.001582	0.000011		species	1	0	
phylum	Cyanobacteriota	1117	54	2328	0.500364	339	0.000045	0.000885	0.000006	Bacteria	2	8100	0.272222	123	0	0.897074	[0.000738-0.99999]	0.000016	3232	21040945	6.867257	0.104889	148.854973	0.000000	0.000885	0.000006		species	7	0	
phylum	Verrucomicrobiota	74201	48	1676	0.501466	226	0.000078	0.000808	0.000006	Bacteria	2	7200	0.232500	2	0	1.000000	[0.002932-1.0]	0.000022	2018	10195084	7.415929	0.111992	112.899045	0.000000	0.000808	0.000006		species	3	0	
phylum	Deinococcota	1297	27	1178	0.500136	83	0.000024	0.000569	0.000004	Bacteria	2	4050	0.279259	47	0	0.958155	[0.000273-0.999999]	0.000018	205	4735423	14.192771	0.404878	202.944967	0.000000	0.000569	0.000004		species	2	0	
phylum	Acidobacteriota	57723	32	1314	0.500788	162	0.000057	0.000384	0.000003	Bacteria	2	4800	0.264792	43	6	0.924771	[0.001586-0.99999]	0.000021	700	7870789	8.111111	0.231429	132.370057	0.000000	0.000384	0.000003		species	2	0	
phylum	Chlamydiota	204428	10	371	0.500175	38	0.000038	0.000367	0.000003	Bacteria	2	1500	0.240000	11	0	0.970350	[0.00035-1.0]	0.000038	140	1010256	9.763158	0.271429	163.048104	0.000000	0.000367	0.000003		species	1	0	
phylum	Myxococcota	2818505	44	1513	0.500059	223	0.000013	0.000365	0.000003	Bacteria	2	6600	0.227879	9	0	0.972222	[0.000118-1.0]	0.000007	1678	31879595	6.784753	0.132896	274.195034	0.000000	0.000365	0.000003		species	6	0	
phylum	Planctomycetota	203682	34	2031	0.500450	347	0.000027	0.000324	0.000002	Bacteria	2	5100	0.375490	116	12	0.919847	[0.000906-0.999993]	0.000010	1689	33182285	5.853026	0.205447	191.544126	0.000000	0.000324	0.000002		species	5	0	
phylum	Fusobacteriota	32066	15	628	0.500220	59	0.000029	0.000305	0.000002	Bacteria	2	2250	0.279111	0	0	1.000000	[0.00044-1.0]	0.000029	260	2057376	10.644068	0.226923	186.734517	0.000000	0.000305	0.000002		species	1	0	
phylum	Synergistota	508458	11	332	0.500092	62	0.000022	0.000224	0.000002	Bacteria	2	1650	0.201212	0	0	1.000000	[0.000183-1.0]	0.000021	676	2940836	5.354839	0.091716	213.215267	0.000000	0.000224	0.000002		species	2	0	
phylum	Chloroflexota	200795	13	510	0.500187	128	0.000033	0.000178	0.000001	Bacteria	2	1950	0.252821	17	0	0.957746	[0.000374-0.999999]	0.000012	578	10774314	3.984375	0.221453	174.993631	0.000000	0.000178	0.000001		species	3	0	
phylum	Nitrospinota	1293497	6	259	0.500101	46	0.000018	0.000103	0.000001	Bacteria	2	900	0.276667	10	0	0.961390	[0.000202-1.0]	0.000018	407	2524709	5.630435	0.113022	234.273298	0.000000	0.000103	0.000001		species	1	0	
phylum	Mycoplasmatota	544448	2	66	0.500218	33	0.000051	0.000102	0.000001	Bacteria	2	300	0.220000	0	0	1.000000	[0.000437-1.0]	0.000051	52	648561	2.000000	0.634615	140.186888	0.000000	0.000102	0.000001		species	1	0	
